status_id,status_message,link_name,status_type,status_link,permalink_url,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
9322764314_10154599582834315,"Is it normal for you to schedule maintenance without advising customers? My phone line died today, during a very busy work day for me. When I called you, the only explanation is that you had ""scheduled maintenance and we would be without a phone for 48 hours"". This is unacceptable. If we had been given notice, I could have made arrangements to go into the office today.",,status,,https://www.facebook.com/Telstra/posts/10154599582834315,2017-03-21 07:55:01,0,0,0,0,0,0,0,0,0
9322764314_10209208457274419,"Hi, I received this today and I most certainly didn't subscribe. I have been given two different suggestions on what to do. What do you suggest? Thank you.",,photo,https://www.facebook.com/photo.php?fbid=10209208457274419&set=o.9322764314&type=3,https://www.facebook.com/photo.php?fbid=10209208457274419&set=o.9322764314&type=3,2017-03-21 07:46:43,0,0,0,0,0,0,0,0,0
9322764314_10154599569529315,Thanks for the great live chat service. My cracked phone died. New iPhone & new contract efficiently organised and delivered within 48 hours. :D  The sales assistant had a sense of humour too. Winning all round today!,,status,,https://www.facebook.com/Telstra/posts/10154599569529315,2017-03-21 07:42:26,0,0,0,0,0,0,0,0,0
9322764314_10154599567799315,"Is there a mobile outage around Brisbane, I can't make or receive calls at the moment",,status,,https://www.facebook.com/Telstra/posts/10154599567799315,2017-03-21 07:41:14,0,0,0,0,0,0,0,0,0
9322764314_10154599565224315,Why does my ipad sim card say emergency calls only   please explain this,,status,,https://www.facebook.com/Telstra/posts/10154599565224315,2017-03-21 07:39:16,0,0,0,0,0,0,0,0,0
9322764314_10154599562849315,"Just wondering when you are planning on getting my home phone sorted. Was booked for 6th January and still waiting. After many calls to Telstra, and nothing being followed up, I wrote an email outlining my concerns on February 10th - still waiting for a reply or contact of some kind. 
Called again 15th February
Called again 26th February. 
Called again 4th March - this call was successful in getting email up and running. So the 2hours 43mins did finally get something achieved. 
Today is 21st March, so I think I am not overreacting in wanting some action with this manner FAST! 
This is what happens when you send your call centres overseas - care factor for Australian customers = zero.",,status,,https://www.facebook.com/Telstra/posts/10154599562849315,2017-03-21 07:36:35,0,1,1,0,0,0,0,0,0
9322764314_10154599557114315,The nightmare  of internet= telstra. No net and land line  for a day. Waiting for 2 hours and no one willing to answer.,,status,,https://www.facebook.com/Telstra/posts/10154599557114315,2017-03-21 07:31:23,0,2,0,0,0,0,0,0,0
9322764314_10154599538069315,Is there any outage in kings park  nsw area have no Foxtel and internet is running slow,,status,,https://www.facebook.com/Telstra/posts/10154599538069315,2017-03-21 07:16:16,1,1,0,1,0,0,0,0,0
9322764314_10154599534214315,If  u dont fix the fact that i get no signal in my house u r losing me its behind a joke now,,status,,https://www.facebook.com/Telstra/posts/10154599534214315,2017-03-21 07:14:14,0,0,0,0,0,0,0,0,0
9322764314_10154599528434315,"Hi Telstra
Thank you for selling me your Foxtel service in December 2016( which you are still advertising )
So finally on the 16 of march someone calls and says we will install it on Tuesday 21March 2017
Confirmed again on Monday 20 March 2017
So I take the day of
Technician arrives at 9am with the wrong stuff
Sorry sir I'll be back at 11:30
At 2:30 pm I call him no answer 
2:45 pm a text sorry we don't have the stuff you need in the south west
Unacceptable........
I took the day of for this and he does not even have the decency to call or answer my calls

Sort this out now",,status,,https://www.facebook.com/Telstra/posts/10154599528434315,2017-03-21 07:10:52,0,0,0,0,0,0,0,0,0
9322764314_10154599527109315,Lol Telstra have heard this may times. Sorry sir we know you have had a hole in your front yard for 5 years with exposed cables that effects your phone line and causes you to loose money and be a safety issue to your family and the public.....but yeah how will you be paying that today.,,status,,https://www.facebook.com/Telstra/posts/10154599527109315,2017-03-21 07:09:53,0,1,1,0,0,0,0,0,0
